"from","to","m","km","miles","seconds","minutes","hours","mode"
"Kuala Lumpur - Taman Desa,The Hipster @ Taman Desa","Kuala Lumpur, TRX",9986,9.986,6.2053004,1097,18.2833333333333,0.304722222222222,"driving"
"Kuala Lumpur - Taman Desa,The Hipster @ Taman Desa","Kuala Lumpur City Centre",8476,8.476,5.2669864,976,16.2666666666667,0.271111111111111,"driving"
"Kuala Lumpur - Taman Desa,The Hipster @ Taman Desa","Bukit Bintang, Kuala Lumpur",9419,9.419,5.8529666,1087,18.1166666666667,0.301944444444444,"driving"
"Kuala Lumpur - Cheras,Segar Courts","Kuala Lumpur, TRX",10099,10.099,6.2755186,1044,17.4,0.29,"driving"
"Kuala Lumpur - Cheras,Segar Courts","Kuala Lumpur City Centre",9522,9.522,5.9169708,967,16.1166666666667,0.268611111111111,"driving"
"Kuala Lumpur - Cheras,Segar Courts","Bukit Bintang, Kuala Lumpur",9345,9.345,5.806983,934,15.5666666666667,0.259444444444444,"driving"
"Kuala Lumpur - Taman Desa,Pangsapuri Teratak Muhibbah 2","Kuala Lumpur, TRX",9770,9.77,6.071078,1118,18.6333333333333,0.310555555555556,"driving"
"Kuala Lumpur - Taman Desa,Pangsapuri Teratak Muhibbah 2","Kuala Lumpur City Centre",8279,8.279,5.1445706,1014,16.9,0.281666666666667,"driving"
"Kuala Lumpur - Taman Desa,Pangsapuri Teratak Muhibbah 2","Bukit Bintang, Kuala Lumpur",9203,9.203,5.7187442,1108,18.4666666666667,0.307777777777778,"driving"
"Kuala Lumpur - Sentul,Sentul Point Suite Apartment","Kuala Lumpur, TRX",11128,11.128,6.9149392,1255,20.9166666666667,0.348611111111111,"driving"
"Kuala Lumpur - Sentul,Sentul Point Suite Apartment","Kuala Lumpur City Centre",10860,10.86,6.748404,1277,21.2833333333333,0.354722222222222,"driving"
"Kuala Lumpur - Sentul,Sentul Point Suite Apartment","Bukit Bintang, Kuala Lumpur",10947,10.947,6.8024658,1278,21.3,0.355,"driving"
"Kuala Lumpur - Mont Kiara,Arte Mont Kiara","Kuala Lumpur, TRX",11377,11.377,7.0696678,1274,21.2333333333333,0.353888888888889,"driving"
"Kuala Lumpur - Mont Kiara,Arte Mont Kiara","Kuala Lumpur City Centre",9092,9.092,5.6497688,1057,17.6166666666667,0.293611111111111,"driving"
"Kuala Lumpur - Mont Kiara,Arte Mont Kiara","Bukit Bintang, Kuala Lumpur",10839,10.839,6.7353546,1159,19.3166666666667,0.321944444444444,"driving"
"Kuala Lumpur - Setapak,Residensi Vista Wirajaya","Kuala Lumpur, TRX",13062,13.062,8.1167268,1363,22.7166666666667,0.378611111111111,"driving"
"Kuala Lumpur - Setapak,Residensi Vista Wirajaya","Kuala Lumpur City Centre",11859,11.859,7.3691826,1436,23.9333333333333,0.398888888888889,"driving"
"Kuala Lumpur - Setapak,Residensi Vista Wirajaya","Bukit Bintang, Kuala Lumpur",12495,12.495,7.764393,1353,22.55,0.375833333333333,"driving"
"Kuala Lumpur - Sentul,Sky Meridien","Kuala Lumpur, TRX",8904,8.904,5.5329456,1094,18.2333333333333,0.303888888888889,"driving"
"Kuala Lumpur - Sentul,Sky Meridien","Kuala Lumpur City Centre",10170,10.17,6.319638,1037,17.2833333333333,0.288055555555556,"driving"
"Kuala Lumpur - Sentul,Sky Meridien","Bukit Bintang, Kuala Lumpur",8723,8.723,5.4204722,1117,18.6166666666667,0.310277777777778,"driving"
"Kuala Lumpur - Ampang,Arte Plus Jalan Ampang","Kuala Lumpur, TRX",8234,8.234,5.1166076,998,16.6333333333333,0.277222222222222,"driving"
"Kuala Lumpur - Ampang,Arte Plus Jalan Ampang","Kuala Lumpur City Centre",12807,12.807,7.9582698,1090,18.1666666666667,0.302777777777778,"driving"
